"Stock","Metier","Category","Value","col"
"whg.27.47d","beam_oth","Landings",41.29991,"#cab2d6"
"wit.27.3a47d","beam_oth","Landings",0.10625,"#6a3d9a"
"Nephrops","beam_oth","Landings",46.55,"#ffff99"
"bll.27.3a47de","pots","Landings",0.0973,"#b15928"
"cod.27.46a7d20","pots","Landings",13.8565403897132,"#a6cee3"
"had.27.46a20","pots","Landings",0.101914285714286,"#1f78b4"
"ple.27.7d","pots","Landings",0.389875,"#b2df8a"
"ple.27.420","pots","Landings",0.0103983606557377,"#33a02c"
"pok.27.3a46","pots","Landings",0.1385,"#fb9a99"
"sol.27.4","pots","Landings",0.5321,"#fdbf6f"
"sol.27.7d","pots","Landings",0.8907,"#e31a1c"
"tur.27.4","pots","Landings",0.0239,"#ff7f00"
"whg.27.47d","pots","Landings",0.3581,"#cab2d6"
"Nephrops","pots","Landings",291.76936417671,"#ffff99"
"bll.27.3a47de","OTH","Landings",558.646043005571,"#b15928"
"cod.27.46a7d20","OTH","Landings",626.649573748915,"#a6cee3"
"had.27.46a20","OTH","Landings",1372.50998315977,"#1f78b4"
"ple.27.7d","OTH","Landings",447.92218,"#b2df8a"
"ple.27.420","OTH","Landings",1314.87447484224,"#33a02c"
"pok.27.3a46","OTH","Landings",7319.81516556395,"#fb9a99"
"sol.27.4","OTH","Landings",13.9719329405,"#fdbf6f"
"sol.27.7d","OTH","Landings",61.7133500000001,"#e31a1c"
"tur.27.4","OTH","Landings",98.1030968448,"#ff7f00"
"whg.27.47d","OTH","Landings",1243.68915102599,"#cab2d6"
"wit.27.3a47d","OTH","Landings",16.1780353930384,"#6a3d9a"
"Nephrops","OTH","Landings",1614.1509,"#ffff99"
"bll.27.3a47de","MIS","Landings",13.1393990909091,"#b15928"
"cod.27.46a7d20","MIS","Landings",215.70096284912,"#a6cee3"
"had.27.46a20","MIS","Landings",602.219515723938,"#1f78b4"
"ple.27.7d","MIS","Landings",32.854317,"#b2df8a"
"ple.27.420","MIS","Landings",581.137991931201,"#33a02c"
"pok.27.3a46","MIS","Landings",272.673764657282,"#fb9a99"
"sol.27.4","MIS","Landings",56.7014296863,"#fdbf6f"
"sol.27.7d","MIS","Landings",34.02815,"#e31a1c"
"tur.27.4","MIS","Landings",28.0805770144672,"#ff7f00"
"whg.27.47d","MIS","Landings",284.475227951479,"#cab2d6"
"wit.27.3a47d","MIS","Landings",4.31242685009823,"#6a3d9a"
"Nephrops","MIS","Landings",88.5091,"#ffff99"
