"year","area","country","model_fleet","model_metier","stock","landings","fleet_type"
2020,"4","BE","BE_Beam<24","beam_oth.4","BLL",0.165,"main"
2021,"4","BE","BE_Beam<24","beam_oth.4","BLL",0.03588,"main"
2022,"4","BE","BE_Beam<24","beam_oth.4","BLL",0.20928,"main"
2009,"4","BE","BE_Beam<24","beam_oth.4","COD-NS",46.099,"main"
2010,"4","BE","BE_Beam<24","beam_oth.4","COD-NS",24.675,"main"
2011,"4","BE","BE_Beam<24","beam_oth.4","COD-NS",7.889,"main"
2012,"4","BE","BE_Beam<24","beam_oth.4","COD-NS",11.904,"main"
2013,"4","BE","BE_Beam<24","beam_oth.4","COD-NS",6.123,"main"
2014,"4","BE","BE_Beam<24","beam_oth.4","COD-NS",4.379,"main"
2015,"4","BE","BE_Beam<24","beam_oth.4","COD-NS",10.136,"main"
2016,"4","BE","BE_Beam<24","beam_oth.4","COD-NS",4.167,"main"
2017,"4","BE","BE_Beam<24","beam_oth.4","COD-NS",0.837,"main"
2018,"4","BE","BE_Beam<24","beam_oth.4","COD-NS",0.679,"main"
2019,"4","BE","BE_Beam<24","beam_oth.4","COD-NS",0.3,"main"
2020,"4","BE","BE_Beam<24","beam_oth.4","COD-NS",0.449,"main"
2021,"4","BE","BE_Beam<24","beam_oth.4","COD-NS",0.21356,"main"
2022,"4","BE","BE_Beam<24","beam_oth.4","COD-NS",0.68733,"main"
2009,"4","BE","BE_Beam<24","beam_oth.4","HAD",0.439,"main"
2018,"4","BE","BE_Beam<24","beam_oth.4","NEP5",0.005,"main"
2012,"4","BE","BE_Beam<24","beam_oth.4","NEPOTH-NS",0.001,"main"
2013,"4","BE","BE_Beam<24","beam_oth.4","NEPOTH-NS",3.393,"main"
2009,"4","BE","BE_Beam<24","beam_oth.4","PLE-NS",2.345,"main"
2010,"4","BE","BE_Beam<24","beam_oth.4","PLE-NS",7.837,"main"
2011,"4","BE","BE_Beam<24","beam_oth.4","PLE-NS",14.631,"main"
2012,"4","BE","BE_Beam<24","beam_oth.4","PLE-NS",13.437,"main"
2013,"4","BE","BE_Beam<24","beam_oth.4","PLE-NS",8.814,"main"
2014,"4","BE","BE_Beam<24","beam_oth.4","PLE-NS",3.905,"main"
2015,"4","BE","BE_Beam<24","beam_oth.4","PLE-NS",5.597,"main"
2016,"4","BE","BE_Beam<24","beam_oth.4","PLE-NS",5.808,"main"
2017,"4","BE","BE_Beam<24","beam_oth.4","PLE-NS",5.161,"main"
2018,"4","BE","BE_Beam<24","beam_oth.4","PLE-NS",8.204,"main"
2019,"4","BE","BE_Beam<24","beam_oth.4","PLE-NS",3.274,"main"
2020,"4","BE","BE_Beam<24","beam_oth.4","PLE-NS",2.997,"main"
2021,"4","BE","BE_Beam<24","beam_oth.4","PLE-NS",2.72552,"main"
2022,"4","BE","BE_Beam<24","beam_oth.4","PLE-NS",6.2641,"main"
2009,"4","BE","BE_Beam<24","beam_oth.4","SOL-NS",3.681,"main"
2010,"4","BE","BE_Beam<24","beam_oth.4","SOL-NS",3.762,"main"
2011,"4","BE","BE_Beam<24","beam_oth.4","SOL-NS",4.699,"main"
2012,"4","BE","BE_Beam<24","beam_oth.4","SOL-NS",5.556,"main"
2013,"4","BE","BE_Beam<24","beam_oth.4","SOL-NS",6.974,"main"
2014,"4","BE","BE_Beam<24","beam_oth.4","SOL-NS",2.798,"main"
2015,"4","BE","BE_Beam<24","beam_oth.4","SOL-NS",2.703,"main"
2016,"4","BE","BE_Beam<24","beam_oth.4","SOL-NS",3.45,"main"
2017,"4","BE","BE_Beam<24","beam_oth.4","SOL-NS",2.129,"main"
2018,"4","BE","BE_Beam<24","beam_oth.4","SOL-NS",4.755,"main"
2019,"4","BE","BE_Beam<24","beam_oth.4","SOL-NS",3.45,"main"
2020,"4","BE","BE_Beam<24","beam_oth.4","SOL-NS",10.284,"main"
2021,"4","BE","BE_Beam<24","beam_oth.4","SOL-NS",3.14835,"main"
2022,"4","BE","BE_Beam<24","beam_oth.4","SOL-NS",8.09819,"main"
2009,"4","BE","BE_Beam<24","beam_oth.4","TUR",0.758,"main"
2010,"4","BE","BE_Beam<24","beam_oth.4","TUR",0.625,"main"
2011,"4","BE","BE_Beam<24","beam_oth.4","TUR",0.638,"main"
2012,"4","BE","BE_Beam<24","beam_oth.4","TUR",0.815,"main"
2013,"4","BE","BE_Beam<24","beam_oth.4","TUR",0.557,"main"
2014,"4","BE","BE_Beam<24","beam_oth.4","TUR",0.215,"main"
2015,"4","BE","BE_Beam<24","beam_oth.4","TUR",0.478,"main"
2016,"4","BE","BE_Beam<24","beam_oth.4","TUR",2.249,"main"
2017,"4","BE","BE_Beam<24","beam_oth.4","TUR",0.455,"main"
2018,"4","BE","BE_Beam<24","beam_oth.4","TUR",0.572,"main"
2019,"4","BE","BE_Beam<24","beam_oth.4","TUR",0.218,"main"
2020,"4","BE","BE_Beam<24","beam_oth.4","TUR",0.737,"main"
2021,"4","BE","BE_Beam<24","beam_oth.4","TUR",0.3988,"main"
2022,"4","BE","BE_Beam<24","beam_oth.4","TUR",1.01349,"main"
2009,"4","BE","BE_Beam<24","beam_oth.4","WHG-NS",16.775,"main"
2010,"4","BE","BE_Beam<24","beam_oth.4","WHG-NS",23.24,"main"
2011,"4","BE","BE_Beam<24","beam_oth.4","WHG-NS",3.626,"main"
2012,"4","BE","BE_Beam<24","beam_oth.4","WHG-NS",5.777,"main"
2013,"4","BE","BE_Beam<24","beam_oth.4","WHG-NS",1.787,"main"
2014,"4","BE","BE_Beam<24","beam_oth.4","WHG-NS",0.482,"main"
2015,"4","BE","BE_Beam<24","beam_oth.4","WHG-NS",6.498,"main"
2016,"4","BE","BE_Beam<24","beam_oth.4","WHG-NS",12.548,"main"
2017,"4","BE","BE_Beam<24","beam_oth.4","WHG-NS",6.686,"main"
2018,"4","BE","BE_Beam<24","beam_oth.4","WHG-NS",6.88,"main"
2019,"4","BE","BE_Beam<24","beam_oth.4","WHG-NS",4.953,"main"
2020,"4","BE","BE_Beam<24","beam_oth.4","WHG-NS",7.425,"main"
2021,"4","BE","BE_Beam<24","beam_oth.4","WHG-NS",4.39383,"main"
2022,"4","BE","BE_Beam<24","beam_oth.4","WHG-NS",16.35991,"main"
2022,"4","BE","BE_Beam<24","beam_oth.4","WIT",0.02625,"main"
2020,"4","BE","BE_Beam<24","BT2.4","BLL",1.077,"main"
2021,"4","BE","BE_Beam<24","BT2.4","BLL",0.67941,"main"
2022,"4","BE","BE_Beam<24","BT2.4","BLL",0.73922,"main"
2009,"4","BE","BE_Beam<24","BT2.4","COD-NS",108.081,"main"
2010,"4","BE","BE_Beam<24","BT2.4","COD-NS",57.122,"main"
2011,"4","BE","BE_Beam<24","BT2.4","COD-NS",33.629,"main"
2012,"4","BE","BE_Beam<24","BT2.4","COD-NS",29.881,"main"
2013,"4","BE","BE_Beam<24","BT2.4","COD-NS",10.604,"main"
2014,"4","BE","BE_Beam<24","BT2.4","COD-NS",15.947,"main"
2015,"4","BE","BE_Beam<24","BT2.4","COD-NS",43.021,"main"
2016,"4","BE","BE_Beam<24","BT2.4","COD-NS",10.639,"main"
2017,"4","BE","BE_Beam<24","BT2.4","COD-NS",1.94,"main"
2018,"4","BE","BE_Beam<24","BT2.4","COD-NS",1.822,"main"
2019,"4","BE","BE_Beam<24","BT2.4","COD-NS",0.589,"main"
2020,"4","BE","BE_Beam<24","BT2.4","COD-NS",0.458,"main"
2021,"4","BE","BE_Beam<24","BT2.4","COD-NS",0.4252,"main"
2022,"4","BE","BE_Beam<24","BT2.4","COD-NS",0.18369,"main"
2009,"4","BE","BE_Beam<24","BT2.4","HAD",0.015,"main"
2010,"4","BE","BE_Beam<24","BT2.4","HAD",0.022,"main"
2011,"4","BE","BE_Beam<24","BT2.4","HAD",0.004,"main"
2012,"4","BE","BE_Beam<24","BT2.4","HAD",0.025,"main"
2013,"4","BE","BE_Beam<24","BT2.4","HAD",0.001,"main"
2014,"4","BE","BE_Beam<24","BT2.4","HAD",0.001,"main"
2015,"4","BE","BE_Beam<24","BT2.4","HAD",0.004,"main"
2017,"4","BE","BE_Beam<24","BT2.4","HAD",0.015,"main"
2018,"4","BE","BE_Beam<24","BT2.4","HAD",0.004,"main"
2019,"4","BE","BE_Beam<24","BT2.4","HAD",0.028,"main"
2020,"4","BE","BE_Beam<24","BT2.4","HAD",0.001,"main"
2009,"4","BE","BE_Beam<24","BT2.4","NEP33",2.109,"main"
2012,"4","BE","BE_Beam<24","BT2.4","NEP33",0.094,"main"
2013,"4","BE","BE_Beam<24","BT2.4","NEP33",2.695,"main"
2014,"4","BE","BE_Beam<24","BT2.4","NEP33",2.783,"main"
2015,"4","BE","BE_Beam<24","BT2.4","NEP33",0.037,"main"
2017,"4","BE","BE_Beam<24","BT2.4","NEP33",2.495,"main"
2018,"4","BE","BE_Beam<24","BT2.4","NEP33",22.407,"main"
2019,"4","BE","BE_Beam<24","BT2.4","NEP33",2.285,"main"
2022,"4","BE","BE_Beam<24","BT2.4","NEP33",1.77,"main"
2010,"4","BE","BE_Beam<24","BT2.4","NEP5",3.732,"main"
2012,"4","BE","BE_Beam<24","BT2.4","NEP5",2.183,"main"
2013,"4","BE","BE_Beam<24","BT2.4","NEP5",1.279,"main"
2014,"4","BE","BE_Beam<24","BT2.4","NEP5",5.035,"main"
2015,"4","BE","BE_Beam<24","BT2.4","NEP5",12.923,"main"
2016,"4","BE","BE_Beam<24","BT2.4","NEP5",7.424,"main"
2017,"4","BE","BE_Beam<24","BT2.4","NEP5",4.107,"main"
2018,"4","BE","BE_Beam<24","BT2.4","NEP5",7.752,"main"
2019,"4","BE","BE_Beam<24","BT2.4","NEP5",1.597,"main"
2022,"4","BE","BE_Beam<24","BT2.4","NEP5",3.56717,"main"
2011,"4","BE","BE_Beam<24","BT2.4","NEPOTH-NS",0.024,"main"
2012,"4","BE","BE_Beam<24","BT2.4","NEPOTH-NS",0.017,"main"
2013,"4","BE","BE_Beam<24","BT2.4","NEPOTH-NS",0.417,"main"
2014,"4","BE","BE_Beam<24","BT2.4","NEPOTH-NS",0.289,"main"
2015,"4","BE","BE_Beam<24","BT2.4","NEPOTH-NS",5.599,"main"
2016,"4","BE","BE_Beam<24","BT2.4","NEPOTH-NS",2.515,"main"
2017,"4","BE","BE_Beam<24","BT2.4","NEPOTH-NS",5.267,"main"
2018,"4","BE","BE_Beam<24","BT2.4","NEPOTH-NS",4.587,"main"
2022,"4","BE","BE_Beam<24","BT2.4","NEPOTH-NS",4.32083,"main"
2009,"4","BE","BE_Beam<24","BT2.4","PLE-NS",262.898,"main"
2010,"4","BE","BE_Beam<24","BT2.4","PLE-NS",392.582,"main"
2011,"4","BE","BE_Beam<24","BT2.4","PLE-NS",587.247,"main"
2012,"4","BE","BE_Beam<24","BT2.4","PLE-NS",406.431,"main"
2013,"4","BE","BE_Beam<24","BT2.4","PLE-NS",460.886,"main"
2014,"4","BE","BE_Beam<24","BT2.4","PLE-NS",632.208,"main"
2015,"4","BE","BE_Beam<24","BT2.4","PLE-NS",431.926,"main"
2016,"4","BE","BE_Beam<24","BT2.4","PLE-NS",262.675,"main"
2017,"4","BE","BE_Beam<24","BT2.4","PLE-NS",181.224,"main"
2018,"4","BE","BE_Beam<24","BT2.4","PLE-NS",112.828,"main"
2019,"4","BE","BE_Beam<24","BT2.4","PLE-NS",42.095,"main"
2020,"4","BE","BE_Beam<24","BT2.4","PLE-NS",23.272,"main"
2021,"4","BE","BE_Beam<24","BT2.4","PLE-NS",27.91398,"main"
2022,"4","BE","BE_Beam<24","BT2.4","PLE-NS",19.42704,"main"
2010,"4","BE","BE_Beam<24","BT2.4","POK",0.004,"main"
2009,"4","BE","BE_Beam<24","BT2.4","SOL-NS",389.321,"main"
2010,"4","BE","BE_Beam<24","BT2.4","SOL-NS",385.443,"main"
2011,"4","BE","BE_Beam<24","BT2.4","SOL-NS",316.22,"main"
2012,"4","BE","BE_Beam<24","BT2.4","SOL-NS",250.612,"main"
2013,"4","BE","BE_Beam<24","BT2.4","SOL-NS",242.475,"main"
2014,"4","BE","BE_Beam<24","BT2.4","SOL-NS",276.052,"main"
2015,"4","BE","BE_Beam<24","BT2.4","SOL-NS",271.17,"main"
2016,"4","BE","BE_Beam<24","BT2.4","SOL-NS",162.816,"main"
2017,"4","BE","BE_Beam<24","BT2.4","SOL-NS",93.61,"main"
2018,"4","BE","BE_Beam<24","BT2.4","SOL-NS",75.371,"main"
2019,"4","BE","BE_Beam<24","BT2.4","SOL-NS",59.856,"main"
2020,"4","BE","BE_Beam<24","BT2.4","SOL-NS",95.54,"main"
2021,"4","BE","BE_Beam<24","BT2.4","SOL-NS",45.57314,"main"
2022,"4","BE","BE_Beam<24","BT2.4","SOL-NS",51.16017,"main"
2009,"4","BE","BE_Beam<24","BT2.4","TUR",10.149,"main"
2010,"4","BE","BE_Beam<24","BT2.4","TUR",7.373,"main"
2011,"4","BE","BE_Beam<24","BT2.4","TUR",9.001,"main"
2012,"4","BE","BE_Beam<24","BT2.4","TUR",6.064,"main"
2013,"4","BE","BE_Beam<24","BT2.4","TUR",6.179,"main"
2014,"4","BE","BE_Beam<24","BT2.4","TUR",7.048,"main"
2015,"4","BE","BE_Beam<24","BT2.4","TUR",9.508,"main"
2016,"4","BE","BE_Beam<24","BT2.4","TUR",5.997,"main"
2017,"4","BE","BE_Beam<24","BT2.4","TUR",7.515,"main"
2018,"4","BE","BE_Beam<24","BT2.4","TUR",4.278,"main"
2019,"4","BE","BE_Beam<24","BT2.4","TUR",3.398,"main"
2020,"4","BE","BE_Beam<24","BT2.4","TUR",2.333,"main"
2021,"4","BE","BE_Beam<24","BT2.4","TUR",1.85986,"main"
2022,"4","BE","BE_Beam<24","BT2.4","TUR",1.74078,"main"
2009,"4","BE","BE_Beam<24","BT2.4","WHG-NS",21.542,"main"
2010,"4","BE","BE_Beam<24","BT2.4","WHG-NS",21.218,"main"
2011,"4","BE","BE_Beam<24","BT2.4","WHG-NS",12.318,"main"
2012,"4","BE","BE_Beam<24","BT2.4","WHG-NS",6.774,"main"
2013,"4","BE","BE_Beam<24","BT2.4","WHG-NS",3.239,"main"
2014,"4","BE","BE_Beam<24","BT2.4","WHG-NS",3.772,"main"
2015,"4","BE","BE_Beam<24","BT2.4","WHG-NS",6.493,"main"
2016,"4","BE","BE_Beam<24","BT2.4","WHG-NS",2.661,"main"
2017,"4","BE","BE_Beam<24","BT2.4","WHG-NS",1.043,"main"
2018,"4","BE","BE_Beam<24","BT2.4","WHG-NS",1.802,"main"
2019,"4","BE","BE_Beam<24","BT2.4","WHG-NS",3.451,"main"
2020,"4","BE","BE_Beam<24","BT2.4","WHG-NS",1.504,"main"
2021,"4","BE","BE_Beam<24","BT2.4","WHG-NS",4.84238,"main"
2022,"4","BE","BE_Beam<24","BT2.4","WHG-NS",3.1771,"main"
2013,"4","BE","BE_Beam<24","BT2.4","WIT",0.014,"main"
2014,"4","BE","BE_Beam<24","BT2.4","WIT",0.078,"main"
2015,"4","BE","BE_Beam<24","BT2.4","WIT",0.004,"main"
2016,"4","BE","BE_Beam<24","BT2.4","WIT",0.022,"main"
2017,"4","BE","BE_Beam<24","BT2.4","WIT",0.159,"main"
2018,"4","BE","BE_Beam<24","BT2.4","WIT",0.745,"main"
2019,"4","BE","BE_Beam<24","BT2.4","WIT",0.014,"main"
2020,"4","BE","BE_Beam<24","BT2.4","WIT",0.001,"main"
2020,"7D","BE","BE_Beam<24","BT2.7D","BLL",33.482,"main"
2021,"7D","BE","BE_Beam<24","BT2.7D","BLL",27.84541,"main"
2022,"7D","BE","BE_Beam<24","BT2.7D","BLL",24.21326,"main"
2009,"7D","BE","BE_Beam<24","BT2.7D","COD-NS",9.506,"main"
2010,"7D","BE","BE_Beam<24","BT2.7D","COD-NS",14.642,"main"
2011,"7D","BE","BE_Beam<24","BT2.7D","COD-NS",12.917,"main"
2012,"7D","BE","BE_Beam<24","BT2.7D","COD-NS",8.013,"main"
2013,"7D","BE","BE_Beam<24","BT2.7D","COD-NS",8.578,"main"
2014,"7D","BE","BE_Beam<24","BT2.7D","COD-NS",10.718,"main"
2015,"7D","BE","BE_Beam<24","BT2.7D","COD-NS",11.149,"main"
2016,"7D","BE","BE_Beam<24","BT2.7D","COD-NS",5.863,"main"
2017,"7D","BE","BE_Beam<24","BT2.7D","COD-NS",2.621,"main"
2018,"7D","BE","BE_Beam<24","BT2.7D","COD-NS",2.088,"main"
2019,"7D","BE","BE_Beam<24","BT2.7D","COD-NS",0.79,"main"
2020,"7D","BE","BE_Beam<24","BT2.7D","COD-NS",0.653,"main"
2021,"7D","BE","BE_Beam<24","BT2.7D","COD-NS",0.14574,"main"
2022,"7D","BE","BE_Beam<24","BT2.7D","COD-NS",0.03744,"main"
2009,"7D","BE","BE_Beam<24","BT2.7D","PLE-EC",270.6729,"main"
2010,"7D","BE","BE_Beam<24","BT2.7D","PLE-EC",412.33475,"main"
2011,"7D","BE","BE_Beam<24","BT2.7D","PLE-EC",363.27715,"main"
2012,"7D","BE","BE_Beam<24","BT2.7D","PLE-EC",270.35335,"main"
2013,"7D","BE","BE_Beam<24","BT2.7D","PLE-EC",275.32425,"main"
2014,"7D","BE","BE_Beam<24","BT2.7D","PLE-EC",211.3226,"main"
2015,"7D","BE","BE_Beam<24","BT2.7D","PLE-EC",415.92725,"main"
2016,"7D","BE","BE_Beam<24","BT2.7D","PLE-EC",410.97735,"main"
2017,"7D","BE","BE_Beam<24","BT2.7D","PLE-EC",393.23735,"main"
2018,"7D","BE","BE_Beam<24","BT2.7D","PLE-EC",372.2317,"main"
2019,"7D","BE","BE_Beam<24","BT2.7D","PLE-EC",276.5678,"main"
2020,"7D","BE","BE_Beam<24","BT2.7D","PLE-EC",246.10565,"main"
2021,"7D","BE","BE_Beam<24","BT2.7D","PLE-EC",207.79463,"main"
2022,"7D","BE","BE_Beam<24","BT2.7D","PLE-EC",129.2567735,"main"
2009,"7D","BE","BE_Beam<24","BT2.7D","SOL-EC",473.565,"main"
2010,"7D","BE","BE_Beam<24","BT2.7D","SOL-EC",548.752,"main"
2011,"7D","BE","BE_Beam<24","BT2.7D","SOL-EC",479.105,"main"
2012,"7D","BE","BE_Beam<24","BT2.7D","SOL-EC",310.091,"main"
2013,"7D","BE","BE_Beam<24","BT2.7D","SOL-EC",286.645,"main"
2014,"7D","BE","BE_Beam<24","BT2.7D","SOL-EC",403.738,"main"
2015,"7D","BE","BE_Beam<24","BT2.7D","SOL-EC",330.097,"main"
2016,"7D","BE","BE_Beam<24","BT2.7D","SOL-EC",198.119,"main"
2017,"7D","BE","BE_Beam<24","BT2.7D","SOL-EC",185.663,"main"
2018,"7D","BE","BE_Beam<24","BT2.7D","SOL-EC",174.358,"main"
2019,"7D","BE","BE_Beam<24","BT2.7D","SOL-EC",186.253,"main"
2020,"7D","BE","BE_Beam<24","BT2.7D","SOL-EC",210.494,"main"
2021,"7D","BE","BE_Beam<24","BT2.7D","SOL-EC",188.72592,"main"
2022,"7D","BE","BE_Beam<24","BT2.7D","SOL-EC",172.01506,"main"
2009,"7D","BE","BE_Beam<24","BT2.7D","WHG-NS",21.753,"main"
2010,"7D","BE","BE_Beam<24","BT2.7D","WHG-NS",27.435,"main"
2011,"7D","BE","BE_Beam<24","BT2.7D","WHG-NS",24.369,"main"
2012,"7D","BE","BE_Beam<24","BT2.7D","WHG-NS",17.904,"main"
2013,"7D","BE","BE_Beam<24","BT2.7D","WHG-NS",20.966,"main"
2014,"7D","BE","BE_Beam<24","BT2.7D","WHG-NS",14.68,"main"
2015,"7D","BE","BE_Beam<24","BT2.7D","WHG-NS",20.033,"main"
2016,"7D","BE","BE_Beam<24","BT2.7D","WHG-NS",14.232,"main"
2017,"7D","BE","BE_Beam<24","BT2.7D","WHG-NS",15.286,"main"
2018,"7D","BE","BE_Beam<24","BT2.7D","WHG-NS",9.916,"main"
2019,"7D","BE","BE_Beam<24","BT2.7D","WHG-NS",11.887,"main"
2020,"7D","BE","BE_Beam<24","BT2.7D","WHG-NS",7.407,"main"
2021,"7D","BE","BE_Beam<24","BT2.7D","WHG-NS",6.35404,"main"
2022,"7D","BE","BE_Beam<24","BT2.7D","WHG-NS",7.42598,"main"
2014,"7D","BE","BE_Beam<24","BT2.7D","WIT",0.015,"main"
2015,"7D","BE","BE_Beam<24","BT2.7D","WIT",0.01,"main"
2016,"7D","BE","BE_Beam<24","BT2.7D","WIT",0.012,"main"
2018,"7D","BE","BE_Beam<24","BT2.7D","WIT",0.007,"main"
2019,"7D","BE","BE_Beam<24","BT2.7D","WIT",0.142,"main"
2020,"4","BE","BE_Beam>=24","BT1.4","BLL",28.829,"main"
2021,"4","BE","BE_Beam>=24","BT1.4","BLL",31.31786,"main"
2022,"4","BE","BE_Beam>=24","BT1.4","BLL",12.07355,"main"
2009,"4","BE","BE_Beam>=24","BT1.4","COD-NS",163.994,"main"
2010,"4","BE","BE_Beam>=24","BT1.4","COD-NS",275.87,"main"
2011,"4","BE","BE_Beam>=24","BT1.4","COD-NS",349.195,"main"
2012,"4","BE","BE_Beam>=24","BT1.4","COD-NS",623.22,"main"
2013,"4","BE","BE_Beam>=24","BT1.4","COD-NS",874.281,"main"
2014,"4","BE","BE_Beam>=24","BT1.4","COD-NS",996.986,"main"
2015,"4","BE","BE_Beam>=24","BT1.4","COD-NS",943.532,"main"
2016,"4","BE","BE_Beam>=24","BT1.4","COD-NS",962.751,"main"
2017,"4","BE","BE_Beam>=24","BT1.4","COD-NS",635.781,"main"
2018,"4","BE","BE_Beam>=24","BT1.4","COD-NS",743.424,"main"
2019,"4","BE","BE_Beam>=24","BT1.4","COD-NS",618.204,"main"
2020,"4","BE","BE_Beam>=24","BT1.4","COD-NS",642.956,"main"
2021,"4","BE","BE_Beam>=24","BT1.4","COD-NS",480.47877,"main"
2022,"4","BE","BE_Beam>=24","BT1.4","COD-NS",252.45698,"main"
2009,"4","BE","BE_Beam>=24","BT1.4","HAD",34.471,"main"
2010,"4","BE","BE_Beam>=24","BT1.4","HAD",38.257,"main"
2011,"4","BE","BE_Beam>=24","BT1.4","HAD",47.995,"main"
2012,"4","BE","BE_Beam>=24","BT1.4","HAD",56.848,"main"
2013,"4","BE","BE_Beam>=24","BT1.4","HAD",68.028,"main"
2014,"4","BE","BE_Beam>=24","BT1.4","HAD",74.518,"main"
2015,"4","BE","BE_Beam>=24","BT1.4","HAD",37.854,"main"
2016,"4","BE","BE_Beam>=24","BT1.4","HAD",46.636,"main"
2017,"4","BE","BE_Beam>=24","BT1.4","HAD",25.56,"main"
2018,"4","BE","BE_Beam>=24","BT1.4","HAD",26.386,"main"
2019,"4","BE","BE_Beam>=24","BT1.4","HAD",23.447,"main"
2020,"4","BE","BE_Beam>=24","BT1.4","HAD",31.248,"main"
2021,"4","BE","BE_Beam>=24","BT1.4","HAD",133.31229,"main"
2022,"4","BE","BE_Beam>=24","BT1.4","HAD",186.4504,"main"
2020,"4","BE","BE_Beam>=24","BT1.4","NEP3-4",0.008,"main"
2017,"4","BE","BE_Beam>=24","BT1.4","NEP32",0.014,"main"
2009,"4","BE","BE_Beam>=24","BT1.4","NEP33",0.006,"main"
2013,"4","BE","BE_Beam>=24","BT1.4","NEP33",0.001,"main"
2016,"4","BE","BE_Beam>=24","BT1.4","NEP33",0.035,"main"
2017,"4","BE","BE_Beam>=24","BT1.4","NEP33",0.108,"main"
2018,"4","BE","BE_Beam>=24","BT1.4","NEP33",0.019,"main"
2019,"4","BE","BE_Beam>=24","BT1.4","NEP33",0.025,"main"
2013,"4","BE","BE_Beam>=24","BT1.4","NEP5",0.001,"main"
2017,"4","BE","BE_Beam>=24","BT1.4","NEP5",0.022,"main"
2019,"4","BE","BE_Beam>=24","BT1.4","NEP5",1.371,"main"
2013,"4","BE","BE_Beam>=24","BT1.4","NEPOTH-NS",0.08,"main"
2016,"4","BE","BE_Beam>=24","BT1.4","NEPOTH-NS",0.038,"main"
2017,"4","BE","BE_Beam>=24","BT1.4","NEPOTH-NS",0.121,"main"
2018,"4","BE","BE_Beam>=24","BT1.4","NEPOTH-NS",0.028,"main"
2019,"4","BE","BE_Beam>=24","BT1.4","NEPOTH-NS",0.012,"main"
2020,"4","BE","BE_Beam>=24","BT1.4","NEPOTH-NS",0.001,"main"
2009,"4","BE","BE_Beam>=24","BT1.4","PLE-NS",775.194,"main"
2010,"4","BE","BE_Beam>=24","BT1.4","PLE-NS",1073.923,"main"
2011,"4","BE","BE_Beam>=24","BT1.4","PLE-NS",1575.554,"main"
2012,"4","BE","BE_Beam>=24","BT1.4","PLE-NS",2505.182,"main"
2013,"4","BE","BE_Beam>=24","BT1.4","PLE-NS",3587.666,"main"
2014,"4","BE","BE_Beam>=24","BT1.4","PLE-NS",3672.886,"main"
2015,"4","BE","BE_Beam>=24","BT1.4","PLE-NS",2518.956,"main"
2016,"4","BE","BE_Beam>=24","BT1.4","PLE-NS",2960.153,"main"
2017,"4","BE","BE_Beam>=24","BT1.4","PLE-NS",2177.638,"main"
2018,"4","BE","BE_Beam>=24","BT1.4","PLE-NS",2159.215,"main"
2019,"4","BE","BE_Beam>=24","BT1.4","PLE-NS",1743.369,"main"
2020,"4","BE","BE_Beam>=24","BT1.4","PLE-NS",1513.157,"main"
2021,"4","BE","BE_Beam>=24","BT1.4","PLE-NS",1109.30326,"main"
2022,"4","BE","BE_Beam>=24","BT1.4","PLE-NS",549.52731,"main"
2009,"4","BE","BE_Beam>=24","BT1.4","POK",2.247,"main"
2010,"4","BE","BE_Beam>=24","BT1.4","POK",2.078,"main"
2011,"4","BE","BE_Beam>=24","BT1.4","POK",1.904,"main"
2012,"4","BE","BE_Beam>=24","BT1.4","POK",1.427,"main"
2013,"4","BE","BE_Beam>=24","BT1.4","POK",1.689,"main"
2014,"4","BE","BE_Beam>=24","BT1.4","POK",4.022,"main"
2015,"4","BE","BE_Beam>=24","BT1.4","POK",6.367,"main"
2016,"4","BE","BE_Beam>=24","BT1.4","POK",14.958,"main"
2017,"4","BE","BE_Beam>=24","BT1.4","POK",14.67,"main"
2018,"4","BE","BE_Beam>=24","BT1.4","POK",13.94,"main"
2019,"4","BE","BE_Beam>=24","BT1.4","POK",5.648,"main"
2020,"4","BE","BE_Beam>=24","BT1.4","POK",4.51,"main"
2021,"4","BE","BE_Beam>=24","BT1.4","POK",7.38569,"main"
2022,"4","BE","BE_Beam>=24","BT1.4","POK",4.74144,"main"
2009,"4","BE","BE_Beam>=24","BT1.4","SOL-NS",2.079,"main"
2010,"4","BE","BE_Beam>=24","BT1.4","SOL-NS",3.744,"main"
2011,"4","BE","BE_Beam>=24","BT1.4","SOL-NS",9.451,"main"
2012,"4","BE","BE_Beam>=24","BT1.4","SOL-NS",17.093,"main"
2013,"4","BE","BE_Beam>=24","BT1.4","SOL-NS",18.214,"main"
2014,"4","BE","BE_Beam>=24","BT1.4","SOL-NS",59.816,"main"
2015,"4","BE","BE_Beam>=24","BT1.4","SOL-NS",85.809,"main"
2016,"4","BE","BE_Beam>=24","BT1.4","SOL-NS",117.735,"main"
2017,"4","BE","BE_Beam>=24","BT1.4","SOL-NS",58.555,"main"
2018,"4","BE","BE_Beam>=24","BT1.4","SOL-NS",65.769,"main"
2019,"4","BE","BE_Beam>=24","BT1.4","SOL-NS",29.852,"main"
2020,"4","BE","BE_Beam>=24","BT1.4","SOL-NS",27.991,"main"
2021,"4","BE","BE_Beam>=24","BT1.4","SOL-NS",21.37773,"main"
2022,"4","BE","BE_Beam>=24","BT1.4","SOL-NS",6.24624,"main"
2009,"4","BE","BE_Beam>=24","BT1.4","TUR",20.367,"main"
2010,"4","BE","BE_Beam>=24","BT1.4","TUR",20.636,"main"
2011,"4","BE","BE_Beam>=24","BT1.4","TUR",22.671,"main"
